bus_type,route,departure_stop,arrival_stop,departure_time,arrival_time,fare_adult_yen,fare_child_yen,operator,notes,frequency
cave_bus,鬼ヶ島おにの館⇔鬼ヶ島大洞窟,鬼ヶ島おにの館,鬼ヶ島大洞窟,08:30,08:40,500,300,女木島観光バス,通常ダイヤ(8/1-8/20除く),フェリー発着に合わせて運航
cave_bus,鬼ヶ島おにの館⇔鬼ヶ島大洞窟,鬼ヶ島大洞窟,鬼ヶ島おにの館,08:40,08:50,500,300,女木島観光バス,通常ダイヤ(8/1-8/20除く),フェリー発着に合わせて運航
cave_bus,鬼ヶ島おにの館⇔鬼ヶ島大洞窟,鬼ヶ島おにの館,鬼ヶ島大洞窟,09:25,09:35,500,300,女木島観光バス,通常ダイヤ(8/1-8/20除く),フェリー発着に合わせて運航
cave_bus,鬼ヶ島おにの館⇔鬼ヶ島大洞窟,鬼ヶ島大洞窟,鬼ヶ島おにの館,09:40,09:50,500,300,女木島観光バス,通常ダイヤ(8/1-8/20除く),フェリー発着に合わせて運航
cave_bus,鬼ヶ島おにの館⇔鬼ヶ島大洞窟,鬼ヶ島おにの館,鬼ヶ島大洞窟,10:25,10:35,500,300,女木島観光バス,通常ダイヤ(8/1-8/20除く),フェリー発着に合わせて運航
cave_bus,鬼ヶ島おにの館⇔鬼ヶ島大洞窟,鬼ヶ島大洞窟,鬼ヶ島おにの館,10:40,10:50,500,300,女木島観光バス,通常ダイヤ(8/1-8/20除く),フェリー発着に合わせて運航
cave_bus,鬼ヶ島おにの館⇔鬼ヶ島大洞窟,鬼ヶ島おにの館,鬼ヶ島大洞窟,11:25,11:35,500,300,女木島観光バス,通常ダイヤ(8/1-8/20除く),フェリー発着に合わせて運航
cave_bus,鬼ヶ島おにの館⇔鬼ヶ島大洞窟,鬼ヶ島大洞窟,鬼ヶ島おにの館,11:40,11:50,500,300,女木島観光バス,通常ダイヤ(8/1-8/20除く),フェリー発着に合わせて運航
cave_bus,鬼ヶ島おにの館⇔鬼ヶ島大洞窟,鬼ヶ島おにの館,鬼ヶ島大洞窟,12:25,12:35,500,300,女木島観光バス,通常ダイヤ(8/1-8/20除く),フェリー発着に合わせて運航
cave_bus,鬼ヶ島おにの館⇔鬼ヶ島大洞窟,鬼ヶ島大洞窟,鬼ヶ島おにの館,12:40,12:50,500,300,女木島観光バス,通常ダイヤ(8/1-8/20除く),フェリー発着に合わせて運航
cave_bus,鬼ヶ島おにの館⇔鬼ヶ島大洞窟,鬼ヶ島おにの館,鬼ヶ島大洞窟,13:25,13:35,500,300,女木島観光バス,通常ダイヤ(8/1-8/20除く),フェリー発着に合わせて運航
cave_bus,鬼ヶ島おにの館⇔鬼ヶ島大洞窟,鬼ヶ島大洞窟,鬼ヶ島おにの館,13:40,13:50,500,300,女木島観光バス,通常ダイヤ(8/1-8/20除く),フェリー発着に合わせて運航
cave_bus,鬼ヶ島おにの館⇔鬼ヶ島大洞窟,鬼ヶ島おにの館,鬼ヶ島大洞窟,14:25,14:35,500,300,女木島観光バス,通常ダイヤ(8/1-8/20除く),フェリー発着に合わせて運航
cave_bus,鬼ヶ島おにの館⇔鬼ヶ島大洞窟,鬼ヶ島大洞窟,鬼ヶ島おにの館,14:40,14:50,500,300,女木島観光バス,通常ダイヤ(8/1-8/20除く),フェリー発着に合わせて運航
cave_bus,鬼ヶ島おにの館⇔鬼ヶ島大洞窟,鬼ヶ島おにの館,鬼ヶ島大洞窟,15:25,15:35,500,300,女木島観光バス,通常ダイヤ(8/1-8/20除く),フェリー発着に合わせて運航
