bus_type,route,departure_stop,arrival_stop,departure_time,arrival_time,fare_adult_yen,fare_child_yen,operator,notes,frequency
town_bus,宮浦港→つつじ荘,宮浦港,農協前(家プロジェクト),07:25,07:30,100,50,直島町営バス,本村地区経由,1日数便
town_bus,宮浦港→つつじ荘,農協前(家プロジェクト),つつじ荘,07:30,07:40,100,50,直島町営バス,本村地区経由,1日数便
town_bus,宮浦港→つつじ荘,宮浦港,つつじ荘,08:25,08:40,100,50,直島町営バス,本村地区経由,1日数便
town_bus,宮浦港→つつじ荘,宮浦港,農協前(家プロジェクト),09:25,09:30,100,50,直島町営バス,本村地区経由,1日数便
town_bus,宮浦港→つつじ荘,農協前(家プロジェクト),つつじ荘,09:30,09:40,100,50,直島町営バス,本村地区経由,1日数便
town_bus,宮浦港→つつじ荘,宮浦港,つつじ荘,10:25,10:40,100,50,直島町営バス,本村地区経由,1日数便
town_bus,宮浦港→つつじ荘,宮浦港,農協前(家プロジェクト),11:25,11:30,100,50,直島町営バス,本村地区経由,1日数便
town_bus,宮浦港→つつじ荘,農協前(家プロジェクト),つつじ荘,11:30,11:40,100,50,直島町営バス,本村地区経由,1日数便
town_bus,宮浦港→つつじ荘,宮浦港,つつじ荘,12:25,12:40,100,50,直島町営バス,本村地区経由,1日数便
town_bus,宮浦港→つつじ荘,宮浦港,農協前(家プロジェクト),13:25,13:30,100,50,直島町営バス,本村地区経由,1日数便
town_bus,宮浦港→つつじ荘,農協前(家プロジェクト),つつじ荘,13:30,13:40,100,50,直島町営バス,本村地区経由,1日数便
town_bus,宮浦港→つつじ荘,宮浦港,つつじ荘,14:25,14:40,100,50,直島町営バス,本村地区経由,1日数便
town_bus,宮浦港→つつじ荘,宮浦港,農協前(家プロジェクト),15:25,15:30,100,50,直島町営バス,本村地区経由,1日数便
town_bus,宮浦港→つつじ荘,農協前(家プロジェクト),つつじ荘,15:30,15:40,100,50,直島町営バス,本村地区経由,1日数便
town_bus,宮浦港→つつじ荘,宮浦港,つつじ荘,16:25,16:40,100,50,直島町営バス,本村地区経由,1日数便
town_bus,宮浦港→つつじ荘,宮浦港,農協前(家プロジェクト),17:25,17:30,100,50,直島町営バス,本村地区経由,1日数便
town_bus,宮浦港→つつじ荘,農協前(家プロジェクト),つつじ荘,17:30,17:40,100,50,直島町営バス,本村地区経由,1日数便
shuttle_bus,つつじ荘→地中美術館,つつじ荘,ベネッセハウスミュージアム,09:00,09:05,0,0,ベネッセアートサイト直島,場内無料シャトルバス,30分間隔
shuttle_bus,つつじ荘→地中美術館,ベネッセハウスミュージアム,李禹煥美術館,09:05,09:08,0,0,ベネッセアートサイト直島,場内無料シャトルバス,30分間隔
shuttle_bus,つつじ荘→地中美術館,李禹煥美術館,地中美術館,09:08,09:15,0,0,ベネッセアートサイト直島,場内無料シャトルバス,30分間隔
shuttle_bus,つつじ荘→地中美術館,つつじ荘,ベネッセハウスミュージアム,09:30,09:35,0,0,ベネッセアートサイト直島,場内無料シャトルバス,30分間隔
shuttle_bus,つつじ荘→地中美術館,ベネッセハウスミュージアム,李禹煥美術館,09:35,09:38,0,0,ベネッセアートサイト直島,場内無料シャトルバス,30分間隔
shuttle_bus,つつじ荘→地中美術館,李禹煥美術館,地中美術館,09:38,09:45,0,0,ベネッセアートサイト直島,場内無料シャトルバス,30分間隔
shuttle_bus,つつじ荘→地中美術館,つつじ荘,ベネッセハウスミュージアム,10:00,10:05,0,0,ベネッセアートサイト直島,場内無料シャトルバス,30分間隔
shuttle_bus,つつじ荘→地中美術館,ベネッセハウスミュージアム,李禹煥美術館,10:05,10:08,0,0,ベネッセアートサイト直島,場内無料シャトルバス,30分間隔
shuttle_bus,つつじ荘→地中美術館,李禹煥美術館,地中美術館,10:08,10:15,0,0,ベネッセアートサイト直島,場内無料シャトルバス,30分間隔
