transport_type,service_name,location,price_yen,operating_hours,contact,notes,capacity,requirements
taxi,かんかけタクシー,島内全域,メーター制,要確認,0879-82-2288,詳細要確認,要確認,なし
taxi,小豆島交通株式会社,島内全域,メーター制,要確認,0879-62-1203,詳細要確認,要確認,なし
motorbike_rental,石井レンタバイク,土庄港周辺,要確認,要確認,0879-62-1866,詳細要確認,要確認,原付免許
motorbike_rental,小豆島安全レンタカー,土庄港周辺,要確認,要確認,0879-62-9032,詳細要確認,要確認,原付免許
car_rental,Jネットレンタカー坂手港店,坂手港,要確認,要確認,0879-82-0821,詳細要確認,要確認,普通免許
car_rental,Jネットレンタカー小豆島店,要確認,要確認,要確認,0879-82-0846,詳細要確認,要確認,普通免許
car_rental,国際両備フェリー池田港,池田港,要確認,要確認,0879-75-0405,詳細要確認,要確認,普通免許
car_rental,オリーブレンタカー,要確認,要確認,要確認,0120-939-193,詳細要確認,要確認,普通免許
car_rental,小豆島みきレンタカー,要確認,要確認,要確認,0120-539-010,詳細要確認,要確認,普通免許
car_rental,マリンレンタカー福田港,福田港,要確認,要確認,0879-84-2220,詳細要確認,要確認,普通免許
car_rental,マリンレンタカー土庄港,土庄港,要確認,要確認,0879-61-1277,詳細要確認,要確認,普通免許
car_rental,小豆島観光レンタカー,土庄港,要確認,要確認,0879-62-8555,詳細要確認,要確認,普通免許
car_rental,オリックスレンタカー,土庄港,要確認,要確認,0879-62-4669,詳細要確認,要確認,普通免許
car_rental,小豆島安全レンタカー,土庄港周辺,要確認,要確認,0879-62-9032,詳細要確認,要確認,普通免許
car_rental,エンジェルレンタカー,要確認,要確認,要確認,0879-62-1428,詳細要確認,要確認,普通免許
car_rental,小豆島レンタカー,要確認,要確認,要確認,0879-64-6506,詳細要確認,要確認,普通免許
car_rental,旭屋レンタカー,土庄港,要確認,要確認,0879-62-0162,詳細要確認,要確認,普通免許
ferry_boat,渡し舟,二十四の瞳映画村⇔オリーブビーチ,要確認,要確認,0879-82-2455,映画村とビーチを結ぶ,要確認,なし
walking,徒歩,島内全域,0,24時間,なし,島内各所を徒歩で移動,なし,なし
bus_pass,1日乗車券,島内バス全線,1600,要確認,0879-62-0171,小豆島オリーブバス全線,なし,なし
