route_type,route_name,total_time_minutes,total_cost_yen,convenience_level,weather_protection,luggage_friendly,recommended_for,step_by_step_instructions,important_notes
direct_bus,空港リムジンバス直行,50,1000,最高,完全,高,全ての旅行者,"1. 高松空港2番のりばから乗車\n2. 高松駅/フェリー乗り場で下車\n3. 徒歩約3分で港到達","飛行機到着約15分後発車、時刻表は毎月変更"
bus_walk,空港バス+徒歩,53,1000,高,ほぼ完全,高,一般旅行者,"1. 高松空港2番のりばから高松駅行き乗車\n2. 高松駅で下車\n3. 屋根付き連絡通路で徒歩8分","全程有屋顶通道、雨天也不会淋湿"
bus_train_walk,空港バス+琴電+徒歩,55,1170,中,ほぼ完全,中,電車好き,"1. 高松空港から高松駅へバス\n2. 徒歩3分で琴電高松築港駅\n3. 琴電で移動体験\n4. 徒歩2分で港","琴電は香川県の地方電車、観光体験になる"
taxi_direct,タクシー直行,35,5390,最高,完全,最高,荷物多い旅行者,"1. 高松空港タクシー乗り場\n2. 直接高松港まで\n3. 定額料金制","24時間利用可能、最も快適だが高額"
budget_route,最経済ルート,53,1000,高,ほぼ完全,高,予算重視,"空港バス→高松駅→徒歩","最も安い選択肢、時間も合理的"
comfort_route,最快適ルート,35,5390,最高,完全,最高,快適重視,"タクシー直行","最も快適で確実、時間も最短"
scenic_route,観光ルート,55,1170,中,ほぼ完全,中,観光重視,"空港バス→琴電体験→港","琴電乗車で香川の地方電車を体験"
rainy_day,雨天推奨,50,1000,最高,完全,高,雨天時,"空港リムジンバス直行","雨に濡れる心配なし"
night_time,夜間推奨,35,5390,最高,完全,最高,夜間到着,"タクシー直行","夜間はバスの本数が少ないため"
early_morning,早朝推奨,50,1000,高,完全,高,早朝出発,"空港リムジンバス","早朝便に対応"
ferry_connection,フェリー接続,50,1000,最高,完全,高,島嶼部行き,"空港リムジンバス→フェリー乗り場","小豆島・直島等への最適接続"
return_trip,復路情報,35,4890,最高,完全,最高,帰路,"高松港→タクシー→空港","復路タクシーは往路より500円安い"
